Cell,Cycle No,Step name,Step No,Start,End,Current_min,Current_max,Capacity_min,Capacity_max,Volt_min,Volt_max,Power_min_W,Power_max_W,Duration_s,c_rate
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_Chg,5,2025-11-27 06:29:48.834,2025-11-27 09:11:52.248,50.0,55.23,0.0,143.651,3.25923,3.600008,179.993761187,180.002938109,9723.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_Chg,6,2025-11-27 09:11:52.268,2025-11-27 09:11:56.499,73.98,74.82,0.0,0.088,3.608484,3.650013,269.99986584,270.034128273,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_DChg,8,2025-11-27 09:41:56.396,2025-11-27 09:41:56.396,75.5,75.5,0.0,0.001,3.320442,3.320442,250.693261425,250.693261425,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_DChg,9,2025-11-27 09:41:56.415,2025-11-27 10:32:59.405,54.29,55.38,0.0,46.94,3.249999,3.315608,179.99040767300002,180.00083136199999,3063.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,CP_DChg,10,2025-11-27 10:32:59.434,2025-11-27 14:17:51.752,27.42,35.99,0.0,105.449,2.499998,3.282126,89.984873012,90.00197069699999,13492.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,Rest,7,2025-11-27 09:11:56.520,2025-11-27 09:41:56.369,0.0,0.0,0.0,0.0,3.35089,3.647245,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0087_0_100,3,Rest,11,2025-11-27 14:17:51.771,2025-11-27 14:47:52.128,0.0,0.0,0.0,0.0,2.500935,2.727544,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CC_DChg,2,2025-11-26 12:24:49.246,2025-11-26 12:25:11.888,50.0,50.0,0.0,0.319,2.499982,2.699964,124.99487003,134.984945877,23.0,0.33
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_Chg,4,2025-11-26 12:55:12.161,2025-11-26 13:11:42.319,27.69,33.66,0.0,8.006,2.674097,3.250001,89.995264325,90.01097994,990.0,0.22
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_Chg,5,2025-11-26 13:11:42.356,2025-11-26 15:47:31.176,50.0,55.05,0.0,137.549,3.269862,3.600006,179.992085111,180.00110096,9349.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_Chg,6,2025-11-26 15:47:31.195,2025-11-26 15:47:35.588,73.98,74.77,0.0,0.091,3.611143,3.650007,269.998881255,270.02982195100003,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_DChg,8,2025-11-26 16:17:35.721,2025-11-26 16:17:35.721,75.5,75.5,0.0,0.001,3.33148,3.33148,251.526456824,251.526456824,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_DChg,9,2025-11-26 16:17:35.741,2025-11-26 16:50:47.628,54.61,55.38,0.0,30.598,3.25,3.296211,179.990524682,180.00037982,1992.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,CP_DChg,10,2025-11-26 16:50:47.660,2025-11-26 20:54:59.795,27.4,36.0,0.0,114.554,2.499963,3.284272,89.986398182,90.000589737,14652.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0090_0_100,1,Rest,1,2025-11-26 12:24:19.093,2025-11-26 12:24:49.211,0.0,0.0,0.0,0.0,2.739041,2.739056,0.0,0.0,30.0,0.0
